from,to,condition,sheet
光明兽,恶魔兽,等级≥ 18 友情≤ 2.5♥ 黑暗经验≥ 666,成熟期进化路线
恶魔兽,吸血魔兽,等级≥ 45 黑暗经验≥ 6000,成熟期进化路线
雪人亚古兽,冰恶魔兽,等级≥ 23 友情≤ .5♥ 黑暗经验≥ 666 水生经验≥ 666,成熟期进化路线
冰恶魔兽,骷髅撒旦兽,等级≥ 45 黑暗经验≥ 5100,成熟期进化路线
巴达兽,九尾兽,等级≥ 24 胜率≥ 65% 野兽经验≥ 895,成熟期进化路线
九尾兽,祭师兽,等级≥ 45 神圣经验≥ 4900,成熟期进化路线
巴达兽,裂破兽,等级≥ 24 野兽经验≥ 550 神圣经验≥ 1000,成熟期进化路线
裂破兽,神圣天使兽,等级≥ 48 神圣经验≥ 5500 黑暗经验≤ 100 友情≥ 4♥,成熟期进化路线
大耳兽,迪路兽,等级≥ 21 神圣经验≥ 765,成熟期进化路线
迪路兽,天女兽,等级≥ 45 神圣经验≥ 5200 友情≥ 2.5♥,成熟期进化路线
小妖兽,黑迪路兽,等级≥ 18 野兽经验≥ 350 黑暗经验≥ 215,成熟期进化路线
黑迪路兽,女恶魔兽,等级≥ 45 黑暗经验≥ 4500 友情≥ 4.5♥,成熟期进化路线
加布兽（黑）,三毛猫兽,等级≥ 18 野兽经验≥ 350,成熟期进化路线
三毛猫兽,装载狮子兽,等级≥ 48 野兽经验≥ 1850 机械经验≥ 8900 近防训练值≥ 300,成熟期进化路线
大耳兽,奥加兽,等级≥ 23 胜率≥ 40% 黑暗经验≥ 350 野兽经验≥ 180,成熟期进化路线
奥加兽,数码蛋兽,等级≥ 45 黑暗经验≥ 5000,成熟期进化路线
亚古兽（黑）,风灾兽,等级≥ 25 黑暗经验≥ 300 友情≤ 2.5♥,成熟期进化路线
风灾兽,兽人加鲁鲁（黑）,等级≥ 45 野兽经验≥ 5200,成熟期进化路线
冰河兽,白狮兽,等级≥ 45 野兽经验≥ 3200 水生经验≥ 5000,成熟期进化路线
光明兽,虫蛹兽,等级≥ 25 黑暗经验≥ 1520 近防训练≥ 120,成熟期进化路线
虫蛹兽,地狱使者兽,等级≥ 45 黑暗经验≥ 6404 友情≤ 1♥ 胜率≥ 65%,成熟期进化路线
巴达兽,蛇鸡兽,等级≥ 19 鸟类经验≥ 890,成熟期进化路线
蛇鸡兽,华丽兽,等级≥ 45 鸟类经验≥ 3500 植物经验≥ 3500,成熟期进化路线
比丘兽,巴多拉兽,等级≥ 16 友情≥ 3.5♥ 鸟类经验≥ 850,成熟期进化路线
巴多拉兽,迦楼罗兽,等级≥ 45 鸟类经验≥ 2980,成熟期进化路线
使魔兽,刃龙兽,等级≥ 22 鸟类经验≥ 1000 黑暗经验≥ 300,成熟期进化路线
刃龙兽,迦楼罗兽,等级≥ 45 鸟类经验≥ 2980,成熟期进化路线
龙仔兽,核龙兽（蓝）,等级≥ 18 巨龙经验≥ 500,成熟期进化路线
核龙兽（蓝）,翔龙兽,等级≥ 45 友情≥ 3♥ 胜率≥ 75%,成熟期进化路线
龙仔兽,核龙兽（绿）,等级≥ 18 巨龙经验≥ 500,成熟期进化路线
核龙兽（绿）,地龙兽,等级≥ 45 友情≤ 1♥ 胜率≥ 75%,成熟期进化路线
加鲁哥兽,拉比兽,等级≥ 45 机械经验≥ 5300 野兽经验≥ 600,成熟期进化路线
黑大耳兽,黑加鲁哥兽,等级≥ 17 野兽经验≥ 500 黑暗经验≥ 25,成熟期进化路线
黑加鲁哥兽,黑疾速兽,等级≥ 45 机械经验≥ 5300 野兽经验≥ 600,成熟期进化路线
大耳兽,兔儿爷兽,等级≥ 18 野兽经验≥ 260 近攻训练≥ 110,成熟期进化路线
兔儿爷兽,安底罗兽（神将）,等级≥ 45 野兽经验≥ 5120 友情≥ 2♥ & 友情≤ 4♥,成熟期进化路线
加支兽,温迪兽,等级≥ 20 黑暗经验≥ 625 友情≤ .5♥,成熟期进化路线
温迪兽,安底罗兽,等级≥ 45 黑暗经验≥ 3150 友情≥ 2♥ & 友情≤ 4♥,成熟期进化路线
加奥兽,狮子兽,等级≥ 17 野兽经验≥ 520 胜率≥ 65%,成熟期进化路线
狮子兽,白狮兽,等级≥ 45 野兽经验≥ 3200 水生经验≥ 5000,成熟期进化路线
加支兽,疯狂狮子兽,等级≥ 18 野兽经验≥ 1200 黑暗经验≥ 950,成熟期进化路线
疯狂狮子兽,骷髅撒旦兽,等级≥ 55 黑暗经验≥ 5810,成熟期进化路线
刺针兽,疯狂狮子兽：武装形态,& 1只疯狂狮子兽+2只兵卒兽+2只刺针兽 合体进化：1个数码组合芯片 等级≥ 80 机械经验≥ 150000,成熟期进化路线
猎鹰兽,天鹰兽,等级≥ 20 鸟类经验≥ 890,成熟期进化路线
天鹰兽,迦楼罗兽,等级≥ 45 鸟类经验≥ 2980,成熟期进化路线
多路加兽,多路暴龙兽,等级≥ 45 野兽经验≥ 4120 巨龙经验≥ 5500,成熟期进化路线
多路兽,银龙兽,等级≥ 26 巨龙经验≥ 1250 近防训练≥ 95,成熟期进化路线
银龙兽,飞车龙兽,等级≥ 45 巨龙经验≥ 5000 近防训练≥ 250,成熟期进化路线
流光兽,杜宾犬兽,等级≥ 17 黑暗经验≥ 520,成熟期进化路线
杜宾犬兽,兽人加鲁鲁（黑）,等级≥ 45 野兽经验≥ 5000,成熟期进化路线
管狐兽（黄）,啄木鸟兽,等级≥ 26 鸟类经验≥ 890,成熟期进化路线
啄木鸟兽,八咫乌兽,等级≥ 45 鸟类经验≥ 5700,成熟期进化路线
加布兽,比多兽,等级≥ 22 友情≤ 2.5♥ 昆虫经验≥ 1000,成熟期进化路线
比多兽,超比多兽（蓝）,等级≥ 45 昆虫经验≥ 5100,成熟期进化路线
比丘兽,锹形虫兽,等级≥ 24 友情≤ 1.5♥ 昆虫经验≥ 720 胜率≥ 30%,成熟期进化路线
锹形虫兽,大锹形虫兽,等级≥ 45 昆虫经验≥ 5230,成熟期进化路线
加布兽（黑）,狙击兽,等级≥ 23 昆虫经验≥ 900,成熟期进化路线
狙击兽,大锹形虫兽,等级≥ 45 昆虫经验≥ 5230,成熟期进化路线
冰石兽,陨石兽,等级≥ 45 机械经验≥ 5000,成熟期进化路线
流光兽,强袭龙兽,等级≥ 24 巨龙经验≥ 690 胜率≥ 50%,成熟期进化路线
强袭龙兽,电子龙兽,等级≥ 45 巨龙经验≥ 4500,成熟期进化路线
巴达兽,战甲兽,等级≥ 22 巨龙经验≥ 340 机械经验≥ 200,成熟期进化路线
战甲兽,三角龙兽,等级≥ 45 巨龙经验≥ 5000 胜率≥ 75%,成熟期进化路线
大耳兽,海狮兽,等级≥ 20 水生经验≥ 690,成熟期进化路线
海狮兽,祖顿兽,等级≥ 45 水生经验≥ 5160,成熟期进化路线
企鹅兽,墨鱼兽,等级≥ 18 水生经验≥ 430 黑暗经验≥ 230,成熟期进化路线
墨鱼兽,恶海龙兽,等级≥ 45 水生经验≥ 3200 黑暗经验≥ 2250,成熟期进化路线
砗磲兽,怪蛙兽,等级≥ 18 水生经验≥ 320 友情≥ 4♥,成熟期进化路线
怪蛙兽,老爷怪蛙兽,等级≥ 48 水生经验≥ 6200,成熟期进化路线
亚古兽（黑）,古拉兽,等级≥ 16 巨龙经验≥ 612 胜率≥ 75%,成熟期进化路线
古拉兽,大古拉兽,等级≥ 45 巨龙经验≥ 1500 机械经验≥ 5000,成熟期进化路线
小恶魔兽,黑古拉兽,等级≥ 22 巨龙经验≥ 500 黑暗经验≥ 315,成熟期进化路线
黑古拉兽,黑大古拉兽,等级≥ 45 巨龙经验≥ 1500 机械经验≥ 5000,成熟期进化路线
积木亚古兽,古拉兽（橙）,等级≥ 20 巨龙经验≥ 450 胜率≥ 75%,成熟期进化路线
古拉兽（橙）,大古拉兽（橙）,等级≥ 45 巨龙经验≥ 1500 机械经验≥ 5000,成熟期进化路线
小妖兽,朋克兽,等级≥ 15 巨龙经验≥ 350 黑暗经验≥ 120 拥有过嘿嘿兽,成熟期进化路线
朋克兽,躁响兽,等级≥ 45 巨龙经验≥ 2000 机械经验≥ 5000 黑暗经验≥ 1500,成熟期进化路线
黄蜂兽,大锹形虫兽,等级≥ 45 昆虫经验≥ 5230,成熟期进化路线
比丘兽,仙人掌兽,等级≥ 25 植物经验≥ 660 胜率≥ 60%,成熟期进化路线
仙人掌兽,花仙兽,等级≥ 45 植物经验≥ 3990 友情≥ 4.5♥,成熟期进化路线
甲虫兽,枯木兽,等级≥ 20 植物经验≥ 600,成熟期进化路线
枯木兽,祖利兽,等级≥ 45 植物经验≥ 5230,成熟期进化路线
电力兽,野菜兽,等级≥ 18 植物经验≥ 380,成熟期进化路线
野菜兽,超比多兽（蓝）,等级≥ 45 昆虫经验≥ 6500,成熟期进化路线
小狗兽,刃王哈克兽,等级≥ 30 巨龙经验≥ 450 神圣经验≥ 725 胜率≥ 80%,成熟期进化路线
刃王哈克兽,救世主哈克兽,等级≥ 45 巨龙经验≥ 6750 胜率≥ 80%,成熟期进化路线
巴达兽,冠恐鸟兽,等级≥ 22 鸟类经验≥ 678 近攻训练≥ 100,成熟期进化路线
冠恐鸟兽,迦楼罗兽,等级≥ 45 鸟类经验≥ 2980,成熟期进化路线
亚古兽（黑）,铁钩兽,等级≥ 21 水生经验≥ 512 胜率≥ 50%,成熟期进化路线
铁钩兽,铁钩船长兽,等级≥ 45 水生经验≥ 5950 胜率≥ 40%,成熟期进化路线
甲虫兽,向日葵兽,等级≥ 23 植物经验≥ 795 友情≥ 2.5♥,成熟期进化路线
向日葵兽,丁香兽,等级≥ 45 植物经验≥ 4895 友情≥ 2.5♥,成熟期进化路线
V仔兽,牛人兽,等级≥ 20 野兽经验≥ 650 黑暗经验≥ 430 胜率≥ 80%,成熟期进化路线
牛人兽,猿猴兽,等级≥ 45 野兽经验≥ 5000,成熟期进化路线
古尼兽,蜻蜓兽,等级≥ 17 昆虫经验≥ 340 友情≥ 2♥ & 友情≤ 3♥,成熟期进化路线
蜻蜓兽,南瓜兽,等级≥ 45 黑暗经验≥ 4500 植物经验≥ 1200,成熟期进化路线
贝塔兽,沙地蜻蜓兽,等级≥ 22 拥有过蜻蜓兽 昆虫经验≥ 592,成熟期进化路线
沙地蜻蜓兽,奇虾兽,等级≥ 45 水生经验≥ 5230 友情≤ 1.5♥,成熟期进化路线
哥玛兽,虾龙兽,等级≥ 20 水生经验≥ 500 机械经验≥ 125,成熟期进化路线
虾龙兽,百万海龙兽,等级≥ 45 水生经验≥ 5200,成熟期进化路线
齿轮兽,音速兽,等级≥ 16 机械经验≥ 1995,成熟期进化路线
音速兽,电子龙兽,等级≥ 45 巨龙经验≥ 5000 黑暗经验≤ 1500 胜率≥ 60%,成熟期进化路线
哥布林兽,武士兽,等级≥ 19 黑暗经验≥ 560 胜率≥ 90%,成熟期进化路线
武士兽,阿修罗兽,等级≥ 45 神圣经验≥ 10000,成熟期进化路线
雪人亚古兽,甲板龙兽,等级≥ 20 巨龙经验≥ 500 机械经验≥ 1230,成熟期进化路线
甲板龙兽,地龙兽,等级≥ 45 友情≤ 1♥ 胜率≥ 75% 机械经验≥ 5000,成熟期进化路线
比丘兽,铠甲鸟龙兽,等级≥ 20 鸟类经验≥ 320 近防训练≥ 100 机械经验≥ 1000,成熟期进化路线
铠甲鸟龙兽,翔龙兽,等级≥ 45 友情≥ 3♥ 胜率≥ 75%,成熟期进化路线
多路兽,胡蜂兽,等级≥ 24 昆虫经验≥ 450 机械经验≥ 650 胜率≥ 40%,成熟期进化路线
胡蜂兽,炮蜂兽,等级≥ 45 昆虫经验≥ 2600 机械经验≥ 4120,成熟期进化路线
单角龙兽,龙人兽,等级≥ 16 巨龙经验≥ 300,成熟期进化路线
龙人兽,电子龙兽,等级≥ 45 巨龙经验≥ 4500,成熟期进化路线
巴达兽,巫师兽,等级≥ 18 友情≥ 2.5♥ 黑暗经验≥ 650,成熟期进化路线
巫师兽,贤者兽,等级≥ 45 黑暗经验≥ 5000,成熟期进化路线
阿耆尼兽,布利陀罗兽,等级≥ 55 友情≥ 4♥ 巨龙经验≥ 9150 1个进化器,成熟期进化路线
野狼兽,加鲁姆兽,等级≥ 55 友情≥ 4♥ 野兽经验≥ 9150 1个进化器,成熟期进化路线
仙女兽,舒兹兽,等级≥ 55 友情≥ 4♥ 鸟类经验≥ 9150 1个进化器,成熟期进化路线
企鹅兽,冰熊兽,等级≥ 30 完成挑战模式：第一边疆 水生经验≥ 2600,成熟期进化路线
冰熊兽,巴萨兽,等级≥ 55 友情≥ 4♥ 水生经验≥ 9150 1个进化器,成熟期进化路线
齿轮兽,电光兽,等级≥ 30 通关”第一边疆“ 昆虫经验≥ 2600,成熟期进化路线
电光兽,雷光兽,等级≥ 55 友情≥ 4♥ 昆虫经验≥ 9150 1个进化器,成熟期进化路线
砗磲兽,拉娜兽,等级≥ 30 完成挑战模式：第一边疆 水生经验≥ 2600,成熟期进化路线
拉娜兽,人鱼兽,等级≥ 45 水生经验≥ 5525 近攻训练≥ 280,成熟期进化路线
加支兽,幽暗兽,等级≥ 30 完成挑战模式：第一边疆 黑暗经验≥ 2600,成熟期进化路线
幽暗兽,地狱使者兽,等级≥ 45 黑暗经验≥ 6404 友情≤ 1♥,成熟期进化路线
巴达兽,钻头鼹鼠兽,等级≥ 16 野兽经验≥ 600 友情≥ 4♥,成熟期进化路线
钻头鼹鼠兽,熊猫兽,等级≥ 45 野兽经验≥ 5600 友情≥ 1♥ & 友情≤ 2♥,成熟期进化路线
加布兽,伪钻头鼹鼠兽,等级≥ 16 野兽经验≥ 600 友情≤ 3♥,成熟期进化路线
伪钻头鼹鼠兽,数码蛋兽,等级≥ 45 黑暗经验≥ 5000,成熟期进化路线
小妖兽,蟑螂兽,等级≥ 15 胜率≤ 30%,成熟期进化路线
蟑螂兽,超比多兽（蓝）,等级≥ 45 昆虫经验≥ 6500,成熟期进化路线
积木亚古兽,傻狗兽,等级≥ 16 胜率≤ 30% 野兽经验≥ 545,成熟期进化路线
傻狗兽,冒充兽,等级≥ 45 野兽经验≥ 5525,成熟期进化路线
黑大耳兽,彼得兽,等级≥ 22 友情≥ 4.5♥,成熟期进化路线
彼得兽,丁香兽,等级≥ 45 植物经验≥ 6250 友情≥ 2.5♥,成熟期进化路线
加支兽,德尔塔兽,等级≥ 22 巨龙经验≥ 963 近攻训练≥ 150 胜率≥ 60%,成熟期进化路线
德尔塔兽,百万龙兽,等级≥ 45 巨龙经验≥ 4500 黑暗经验≥ 404,成熟期进化路线
加支兽,獠牙兽,等级≥ 15 黑暗经验≥ 1500 友情≤ .5♥,成熟期进化路线
獠牙兽,兽人加鲁鲁,等级≥ 45 野兽经验≥ 5500,成熟期进化路线
单角龙兽,厄俄斯兽,等级≥ 25 机械经验≥ 1200 昆虫经验≥ 520 拥有过闪蝶兽,成熟期进化路线
厄俄斯兽,厄俄斯兽,等级≥ 45 友情≤ .5♥ 昆虫经验≥ 4590 机械经验≥7950,成熟期进化路线
雪人亚古兽,苍龙兽,等级≥ 15 水生经验≥ 650 胜率≥ 40% 拥有苍龙兽,成熟期进化路线
苍龙兽,冰晶苍龙兽,等级≥ 45 水生经验≥ 5000 友情≥ 3♥,成熟期进化路线
电力兽,埃癸奥兽,等级≥ 30 友情≥4♥ 胜率≥ 80% 神圣经验≥1200,成熟期进化路线
埃癸奥兽,埃癸奥都斯兽,等级≥ 45 友情≥4.5♥ 巨龙经验≥ 8500 神圣经验≥3500,成熟期进化路线
黑大耳兽,不行兽,等级≥ 15 胜率 ≤ 30%,成熟期进化路线
不行兽,冒充兽,等级≥ 45 野兽经验≥ 5525,成熟期进化路线
高吼兽（王）,奥米加高吼兽,等级≥ 55 神圣经验≥ 45000 胜率≥ 90% 2个进化器,成熟期进化路线
齿轮兽,弩炮兽,等级≥ 18 机械经验≥ 610 昆虫经验≥ 120,成熟期进化路线
弩炮兽,炮蜂兽,等级≥ 46 昆虫经验≥ 3600 机械经验≥ 4120,成熟期进化路线
高吼兽,高吼兽X2,& 弩炮兽 合体进化：1个数码组合芯片 等级≥ 18 友情≥ 4.5♥,成熟期进化路线
小妖兽,兵卒兽,等级≥ 20 机械经验≥ 1000 黑暗经验≥ 230 友情≤ .5♥,成熟期进化路线
兵卒兽,贤者兽,等级≥ 45 黑暗经验≥ 5000,成熟期进化路线
加支兽,哈努兽,等级≥ 18 野兽经验≥ 520 神圣经验≥ 150,成熟期进化路线
哈努兽,祭师兽,等级≥ 45 神圣经验≥ 4900,成熟期进化路线
参宿四伽马兽,卡诺维斯兽,等级≥ 45 友情≥ 4.5♥ 巨龙经验≥ 10000,成熟期进化路线
伽马兽,弧矢一伽马兽,等级≥ 16 友情≥ 3♥ 机械经验≥ 700,成熟期进化路线
弧矢一伽马兽,卡诺维斯兽,等级≥ 45 友情≥ 4.5♥ 巨龙经验≥ 10000,成熟期进化路线
伽马兽,箕宿三伽马兽,等级≥ 16 友情≥ 3♥ 鸟类经验≥ 700,成熟期进化路线
箕宿三伽马兽,卡诺维斯兽,等级≥ 45 友情≥ 4.5♥ 巨龙经验≥ 10000,成熟期进化路线
伽马兽,轩辕十四伽马兽,等级≥ 16 友情≤ 3♥ 黑暗经验≥ 700,成熟期进化路线
轩辕十四伽马兽,轩辕十四兽,等级≥ 45 友情≤ 1♥ 黑暗经验≥ 10000,成熟期进化路线
大耳兽,女巫兽,等级≥ 20 友情≥ 2.5♥ 黑暗经验≥ 550 水生经验≥ 200,成熟期进化路线
女巫兽,天女兽,等级≥ 45 黑暗经验≥ 4500 友情≥ 4.5♥,成熟期进化路线
积木亚古兽,魔像兽PS,等级≥ 18 成就数≥ 30 机械经验≥ 2000,成熟期进化路线
魔像兽PS,豆豆兽,等级≥ 45 机械经验≥ 5200,成熟期进化路线
无赖兽,武天兽,等级≥ 45 友情≥ 3♥ 鸟类经验≥ 7500 近攻训练值≥ 400,成熟期进化路线
高等突击龙兽,大蛇兽,等级≥ 45 巨龙经验≥ 5800 胜率≥ 60%,成熟期进化路线
突击龙兽,海豹龙兽,等级≥ 16 友情≤ 1♥ 机械经验≥ 325 胜率≥ 60%,成熟期进化路线
海豹龙兽,装载狮子兽,等级≥ 48 野兽经验≥ 7500 机械经验≥ 2820 近防训练值≥ 300,成熟期进化路线
针毛兽,巨硬针毛兽,等级≥ 45 野兽经验≥ 4500 胜率≥ 85% 友情≥ 4♥,成熟期进化路线
机械暴龙兽,战斗暴龙兽,等级≥ 75 巨龙经验≥ 25000 胜率≥ 85% 4个进化器,完全体进化路线
暴龙兽,机械暴龙兽（病毒）,等级≥ 52 携带黑数码核心数据 巨龙经验≥ 7100,完全体进化路线
机械暴龙兽（病毒）,黑战斗暴龙兽,等级≥ 75 黑暗经验≥ 25000 胜率≥ 85% 4个进化器,完全体进化路线
跃升暴龙兽,闪光暴龙兽,等级≥ 75 巨龙经验≥ 25000 神圣经验≥ 15600 3个进化器,完全体进化路线
暴龙兽（合体战争）,机械暴龙兽（合体战争）,& 铠甲鸟龙兽 合体进化：1个数码合体芯片 等级≥ 45,完全体进化路线
机械暴龙兽（合体战争）,无限龙兽,等级≥ 75 机械经验≥ 29150 黑暗经验≥ 10000 5个进化器,完全体进化路线
暴龙兽,骷髅暴龙兽,等级≥ 46 友情≤ 1♥ 黑暗经验≥ 5000 胜率≤ 30%,完全体进化路线
骷髅暴龙兽,黑战斗暴龙兽,等级≥ 75 黑暗经验≥ 25000 胜率≥ 85% 4个进化器,完全体进化路线
暴龙兽,金属巨龙兽,等级≥ 49 巨龙经验≥ 1955 机械经验≥ 6810,完全体进化路线
金属巨龙兽,红锈巨龙兽,等级≥ 75 机械经验≥ 34000 巨龙经验≥ 19000 7个进化器,完全体进化路线
大师巨龙兽,戴拿兽,等级≥ 75 击杀数≥ 7000 巨龙经验≥ 65000 8个进化器,完全体进化路线
大便兽,超级明星兽,等级≥ 51 机械经验≥ 6000 胜率≥ 35%,完全体进化路线
超级明星兽,正义兽,等级≥ 75 黑暗经验≤ 8000 胜率≥ 95% 4个进化器,完全体进化路线
火焰兽,黑暗巨星兽,等级≥ 52 机械经验≥ 3500 黑暗经验≥ 6100,完全体进化路线
黑暗巨星兽,暗龙兽,等级≥ 75 黑暗经验≥ 25800 机械经验≥ 25410 4个进化器,完全体进化路线
飞龙兽,百万海龙兽,等级≥ 51 水生经验≥ 6120 友情≥ 1.5♥,完全体进化路线
百万海龙兽,金属海龙兽,等级≥ 75 水生经验≥ 32000 机械经验≥ 18000 4个进化器,完全体进化路线
加鲁鲁兽,恶海龙兽,等级≥ 50 水生经验≥ 5200 黑暗经验≥ 2250,完全体进化路线
恶海龙兽,利维亚兽,等级≥ 75 水生经验≥ 35000 黑暗经验≥ 29000 7个进化器,完全体进化路线
祖顿兽,蛇颈龙兽,等级≥ 75 水生经验≥ 29000 友情≥ 5♥ 7个进化器,完全体进化路线
海龙兽,巨鲸兽,等级≥ 47 水生经验≥ 6150 友情≥ 3.5♥,完全体进化路线
巨鲸兽,尼普顿兽,等级≥ 75 水生经验≥ 35000 胜率≥ 80% 4个进化器,完全体进化路线
角龙兽,三角龙兽,等级≥ 45 巨龙经验≥ 5000,完全体进化路线
三角龙兽,炮龙兽,等级≥ 75 巨龙经验≥ 25600 机械经验≥ 32000 5个进化器,完全体进化路线
V仔兽EX,神圣天使兽,等级≥ 65 神圣经验≥ 6800 黑暗经验≤ 100 友情≥ 4♥,完全体进化路线
神圣天使兽,炽天使兽,等级≥ 75 神圣经验≥ 27000 黑暗经验≤ 8000 4个进化器,完全体进化路线
雪人兽,天女兽,等级≥ 55 神圣经验≥ 7250 友情≥ 4.5♥,完全体进化路线
天女兽,座天使兽,等级≥ 75 神圣经验≥ 27000 黑暗经验≤ 8000 4个进化器,完全体进化路线
鬼怪兽,女恶魔兽,等级≥ 52 黑暗经验≥ 7260 友情≥ 4.5♥ 胜率≥ 85%,完全体进化路线
女恶魔兽,莉莉丝兽,等级≥ 75 黑暗经验≥ 26969 胜率≥ 69% 6个进化器,完全体进化路线
幻影兽,小丑兽,等级≥ 75 黑暗经验≥ 33500 胜率≥ 80% 6个进化器,完全体进化路线
骷髅撒旦兽,魔神兽,等级≥ 75 友情≤ .5♥ 黑暗经验≥ 66600 3个进化器,完全体进化路线
冰恶魔兽,祖利兽,等级≥ 58 植物经验≥ 8650 黑暗经验≥ 210 友情≤ 4♥,完全体进化路线
祖利兽,木偶兽,等级≥ 75 植物经验≥ 29650 黑暗经验≥ 15800 4个进化器,完全体进化路线
明星兽,数码蛋兽,等级≥ 48 黑暗经验≥ 4800,完全体进化路线
数码蛋兽,恶魔蛋兽,等级≥ 75 黑暗经验≥ 35000 友情≤ .5♥ 5个进化器,完全体进化路线
巨龙兽,大古拉兽,等级≥ 49 巨龙经验≥ 3210 机械经验≥ 5300,完全体进化路线
大古拉兽,红莲骑士兽,等级≥ 75 神圣经验≥ 29000 胜率≥ 85% 5个进化器,完全体进化路线
大古拉兽,黑大古拉兽,携带黑数码核心数据,完全体进化路线
黑大古拉兽,混沌骑士兽,等级≥ 75 黑暗经验≥ 29000 胜率≥ 85% 5个进化器,完全体进化路线
暴龙兽,大古拉兽（橙）,等级≥ 49 巨龙经验≥ 1500 机械经验≥ 7150,完全体进化路线
大古拉兽（橙）,红莲骑士兽,等级≥ 75 神圣经验≥ 29000 胜率≥ 85% 5个进化器,完全体进化路线
躁响兽,重金属龙兽,等级≥ 75 击杀数≥ 3000 黑暗经验≥ 32500 7个进化器,完全体进化路线
巨龙兽,朱红兽,等级≥ 48 巨龙经验≥ 5200,完全体进化路线
朱红兽,炮龙兽,等级≥ 75 巨龙经验≥ 25600 机械经验≥ 32000 5个进化器,完全体进化路线
蓝色火焰兽,螺栓兽,等级≥ 75 黑暗经验≥ 35000 胜率≤ 30% 6个进化器,完全体进化路线
V龙兽,电子龙兽,等级≥ 50 巨龙经验≥ 5000 黑暗经验≤ 1500 胜率≥ 60%,完全体进化路线
电子龙兽,正义兽,等级≥ 75 黑暗经验≤ 8000 胜率≥ 95% 4个进化器,完全体进化路线
裂破兽,华丽兽,等级≥ 65 鸟类经验≥ 5500 植物经验≥ 4500,完全体进化路线
华丽兽,凤凰兽,等级≥ 75 鸟类经验≥ 31500 神圣经验≥ 15000 5个进化器,完全体进化路线
火焰兽,迦楼罗兽,等级≥ 59 鸟类经验≥ 6150,完全体进化路线
迦楼罗兽,凤凰兽,等级≥ 75 鸟类经验≥ 31500 神圣经验≥ 15000 5个进化器,完全体进化路线
天翔V龙兽,究极V龙兽,等级≥ 75 神圣经验≥ 32650 巨龙经验≥ 15900 6个进化器,完全体进化路线
角龙兽,百万龙兽,等级≥ 50 巨龙经验≥ 4500 黑暗经验≥ 404,完全体进化路线
百万龙兽,无限龙兽,等级≥ 75 机械经验≥ 29150 黑暗经验≥ 10000 5个进化器,完全体进化路线
大地暴龙兽,翔龙兽,等级≥ 50 友情≥ 4♥ 巨龙经验≥ 7200 胜率≥ 75%,完全体进化路线
翔龙兽,斩龙兽,等级≥ 75 巨龙经验≥ 35000 胜率≥ 98% 7个进化器,完全体进化路线
火焰兽,地龙兽,等级≥ 50 友情≤ 1♥ 巨龙经验≥ 7200 胜率≥ 75%,完全体进化路线
地龙兽,破坏龙兽,等级≥ 75 机械经验≥ 25840 巨龙经验≥ 15780 5个进化器,完全体进化路线
贤者兽,贝尔菲兽：沉睡形态,等级≥ 75 黑暗经验≥ 36000 野兽经验≥ 12500 4个进化器,完全体进化路线
加鲁鲁兽,多路暴龙兽,等级≥ 62 野兽经验≥ 6120 巨龙经验≥ 7500,完全体进化路线
多路暴龙兽,阿尔法兽,等级≥ 75 神圣经验≥ 29000 胜率≥ 95% 6个进化器,完全体进化路线
海龙兽,飞车龙兽,等级≥ 65 巨龙经验≥ 6750 近防训练≥ 360,完全体进化路线
飞车龙兽,王龙兽,等级≥ 75 巨龙经验≥ 59000 近防训练≥ 400 5个进化器,完全体进化路线
迪路兽,兽人加鲁鲁,等级≥ 61 野兽经验≥ 7500,完全体进化路线
兽人加鲁鲁,钢铁加鲁鲁兽,等级≥ 75 机械经验≥ 45000 友情≥ 4.5♥ 5个进化器,完全体进化路线
奥加兽,兽人加鲁鲁（黑）,等级≥ 48 野兽经验≥ 5200 黑暗经验≥ 4000,完全体进化路线
兽人加鲁鲁（黑）,钢铁加鲁鲁兽（黑）,等级≥ 75 水生经验≥ 27000 机械经验≥ 27000 4个进化器,完全体进化路线
裂破兽,音速加奥加兽,等级≥ 50 野兽经验≥ 5500 胜率≥ 60%,完全体进化路线
音速加奥加兽,幻影加奥加兽,等级≥ 75 野兽经验≥ 31550 友情≥ 4♥ 5个进化器,完全体进化路线
拉比兽,圣加鲁哥兽,等级≥ 75 机械经验≥ 32100 野兽经验≥ 19200 5个进化器,完全体进化路线
加鲁鲁兽（黑）,黑疾速兽,等级≥ 47 机械经验≥ 4500 野兽经验≥ 7520,完全体进化路线
黑疾速兽,黑圣加鲁哥兽,等级≥ 75 机械经验≥ 32100 黑暗经验≥ 19200 5个进化器,完全体进化路线
加鲁哥兽,安底罗兽（神将）,等级≥ 49 野兽经验≥ 5120 神圣经验≥ 3150 友情≥ 2♥ & 友情≤ 4♥,完全体进化路线
安底罗兽（神将）,智天使兽（善）,等级≥ 75 神圣经验≥ 28000 野兽经验≥ 28000 4个进化器,完全体进化路线
加鲁哥兽,安底罗兽,等级≥ 49 野兽经验≥ 5120 黑暗经验≥ 3150 友情≥ 2♥ & 友情≤ 4♥,完全体进化路线
安底罗兽,智天使兽（恶）,等级≥ 75 黑暗经验≥ 28000 野兽经验≥ 28000 4个进化器,完全体进化路线
天使兽,祭师兽,等级≥ 48 野兽经验≥ 5950 神圣经验≥ 2650,完全体进化路线
